campaign_id,year,month,channel,budget,impressions,clicks,conversions,attributed_revenue
1016,2023,8,Social Ads,7956,1053964,58663,143,16672
1017,2023,8,Influencer,2749,386788,18235,102,11257
1018,2023,8,Email,539,63456,2008,29,3179
1019,2023,8,Referral,1191,98533,6821,41,3986
1020,2023,8,Organic,337,50252,2103,36,2688
1021,2023,9,Paid Search,11169,1215785,45785,176,17216
1022,2023,9,Social Ads,8141,817694,52567,208,17437
1023,2023,9,Influencer,2885,402667,15981,117,11804
1024,2023,9,Email,816,95330,4544,62,4741
1025,2023,9,Referral,2465,299342,16521,83,9742
1026,2023,9,Organic,388,54942,2389,38,2835
1027,2023,10,Paid Search,8547,1098569,47990,119,12309
1028,2023,10,Social Ads,5034,675315,21446,75,8782
1029,2023,10,Influencer,1543,125195,11962,79,6013
1030,2023,10,Email,1288,119063,8896,73,7508
1031,2023,10,Referral,2402,295824,8920,86,9487
1032,2023,10,Organic,661,82705,4156,64,6134
1033,2023,11,Paid Search,18004,2678283,92515,384,24576
1034,2023,11,Social Ads,12212,1778492,88126,174,20676
1035,2023,11,Influencer,4932,474225,39213,304,22797
1036,2023,11,Email,2010,231427,15867,99,11660
1037,2023,11,Referral,1701,202911,10114,94,6719
1038,2023,11,Organic,479,69680,2256,52,3414
1039,2023,12,Paid Search,17993,2204478,129659,205,23363
1040,2023,12,Social Ads,13014,1478920,69489,345,27662
1041,2023,12,Influencer,3592,343637,13966,293,18106
1042,2023,12,Email,1000,113429,7308,70,6848
1043,2023,12,Referral,3335,446110,13598,204,12765
1044,2023,12,Organic,949,129614,4234,109,7560
1045,2024,1,Paid Search,12138,1723851,81509,197,13964
1046,2024,1,Social Ads,6112,755312,21160,234,15179
1047,2024,1,Influencer,3275,409077,12549,109,12710
1048,2024,1,Email,963,103895,6039,59,6469
1049,2024,1,Referral,2345,286570,15620,92,8896
1050,2024,1,Organic,498,65430,2370,51,3740
1051,2024,2,Paid Search,8495,833311,59522,150,11139
1052,2024,2,Social Ads,7282,1041028,37593,185,14223
1053,2024,2,Influencer,2710,368556,16548,146,10639
1054,2024,2,Email,1398,141730,4282,103,9560
1055,2024,2,Referral,2255,192690,8431,131,9282
1056,2024,2,Organic,357,46517,1488,43,2964
1057,2024,3,Paid Search,13157,1707496,89571,160,19082
1058,2024,3,Social Ads,7336,971567,35512,150,14921
1059,2024,3,Influencer,2616,362069,17139,91,10125
1060,2024,3,Email,758,83729,3128,51,5535
1061,2024,3,Referral,1367,167951,7302,34,3983
1062,2024,3,Organic,663,80533,4906,80,5300
1063,2024,4,Paid Search,13363,1591209,103162,159,18046
1064,2024,4,Social Ads,8652,895283,66564,170,18091
1065,2024,4,Influencer,2565,288057,16121,124,13391
1066,2024,4,Email,929,132624,5068,68,7210
1067,2024,4,Referral,1824,224528,10932,67,6569
1068,2024,4,Organic,576,46104,4108,76,5093
1069,2024,5,Paid Search,14174,1540976,83483,214,20090
1070,2024,5,Social Ads,8411,841913,38981,298,19193
1071,2024,5,Influencer,2727,295575,8331,234,14076
1072,2024,5,Email,1129,152992,5574,95,6851
1073,2024,5,Referral,1687,192379,7260,67,4958
1074,2024,5,Organic,688,62763,2758,75,6007
1075,2024,6,Paid Search,8415,925531,51894,130,10972
1076,2024,6,Social Ads,7027,774379,43938,163,17594
1077,2024,6,Influencer,2846,229716,21663,150,12695
1078,2024,6,Email,1469,169993,9743,159,11035
1079,2024,6,Referral,2344,271714,10181,84,8843
1080,2024,6,Organic,399,33440,2800,44,3019
1081,2024,7,Paid Search,12564,1350773,50150,192,18202
1082,2024,7,Social Ads,7957,954905,27843,145,17344
1083,2024,7,Influencer,2083,183897,13413,73,8437
1084,2024,7,Email,540,53102,1623,37,3463
1085,2024,7,Referral,1339,159794,6080,45,4089
1086,2024,7,Organic,314,39862,2321,26,2992
1087,2024,8,Paid Search,14092,1791143,42634,236,21110
1088,2024,8,Social Ads,9206,1146364,31672,256,21103
1089,2024,8,Influencer,3860,411981,18930,161,19068
1090,2024,8,Email,636,89012,3641,34,4088
1091,2024,8,Referral,2364,235941,12878,76,8359
1092,2024,8,Organic,631,83539,2676,66,5430
1093,2024,9,Paid Search,11261,1042346,88011,136,16380
1094,2024,9,Social Ads,5299,504117,40360,138,13255
1095,2024,9,Influencer,3156,447740,18043,157,16993
1096,2024,9,Email,1086,92193,8372,83,8244
1097,2024,9,Referral,1826,271956,10300,55,5255
1098,2024,9,Organic,315,33147,1401,21,2524
1099,2024,10,Paid Search,12124,1236677,72294,188,15074
1100,2024,10,Social Ads,8139,1073275,31701,162,15877
1101,2024,10,Influencer,2987,293131,21446,118,11931
1102,2024,10,Email,1332,160868,8331,86,7902
1103,2024,10,Referral,1081,156261,4147,62,4217
1104,2024,10,Organic,797,106767,3995,57,6339
1105,2024,11,Paid Search,19786,1812721,87957,409,29242
1106,2024,11,Social Ads,8890,1212840,62083,159,15020
1107,2024,11,Influencer,3914,556540,29886,160,17207
1108,2024,11,Email,1326,111524,8182,102,9444
1109,2024,11,Referral,3368,425035,18596,179,12189
1110,2024,11,Organic,997,103970,6417,126,9187
1111,2024,12,Paid Search,15098,1279087,59736,318,20476
1112,2024,12,Social Ads,13861,1426153,47247,513,32798
1113,2024,12,Influencer,5086,620889,36265,268,27940
1114,2024,12,Email,1137,102810,8578,87,8218
1115,2024,12,Referral,2794,345023,20757,73,8675
1116,2024,12,Organic,928,117516,7352,74,8107
