item_id,order_id,product_id,category,quantity,unit_price,line_total
800049,200026,5076,Sports,1,45.12,45.12
800050,200026,5102,Toys,1,34.83,34.83
800051,200027,5133,Clothing,3,32.28,96.84
800052,200027,5211,Beauty,3,36.69,110.07
800053,200027,5178,Home & Kitchen,1,44.62,44.62
800054,200027,5187,Home & Kitchen,1,129.17,129.17
800055,200028,5244,Clothing,1,55.64,55.64
800056,200029,5027,Beauty,1,19.59,19.59
800057,200029,5124,Beauty,2,45.95,91.9
800058,200029,5147,Clothing,1,69.88,69.88
800059,200029,5227,Beauty,1,42.45,42.45
800060,200030,5180,Home & Kitchen,1,29.46,29.46
800061,200031,5201,Clothing,1,22.71,22.71
800062,200032,5062,Electronics,1,393.24,393.24
800063,200033,5056,Sports,1,85.1,85.1
800064,200033,5037,Books,1,21.01,21.01
800065,200033,5200,Electronics,1,551.18,551.18
800066,200033,5199,Toys,1,43.66,43.66
800067,200034,5187,Home & Kitchen,1,129.17,129.17
800068,200035,5085,Books,1,17.78,17.78
800069,200036,5101,Beauty,1,17.26,17.26
800070,200036,5100,Clothing,1,69.04,69.04
800071,200036,5043,Home & Kitchen,1,124.51,124.51
800072,200037,5047,Clothing,1,5,5
800073,200038,5127,Electronics,1,444.81,444.81
800074,200038,5172,Toys,1,48.56,48.56
800075,200038,5063,Toys,1,26.94,26.94
800076,200038,5069,Sports,1,98.14,98.14
800077,200039,5225,Books,2,25.41,50.82
800078,200040,5046,Toys,1,34.12,34.12
800079,200040,5085,Books,1,17.78,17.78
800080,200041,5238,Beauty,1,32.37,32.37
800081,200042,5001,Home & Kitchen,2,134.88,269.76
800082,200043,5158,Home & Kitchen,1,41.36,41.36
800083,200044,5003,Electronics,1,904.76,904.76
800084,200044,5146,Books,1,24.99,24.99
800085,200044,5124,Beauty,1,45.95,45.95
800086,200045,5172,Toys,1,48.56,48.56
800087,200045,5246,Beauty,1,41.07,41.07
800088,200046,5079,Sports,1,54.97,54.97
800089,200046,5228,Books,1,26.25,26.25
800090,200047,5171,Home & Kitchen,1,27.61,27.61
800091,200047,5026,Beauty,1,26.75,26.75
800092,200047,5177,Sports,1,62.84,62.84
800093,200048,5009,Beauty,1,33.11,33.11
800094,200049,5016,Home & Kitchen,1,134.76,134.76
800095,200049,5070,Electronics,1,608.29,608.29
800096,200050,5173,Beauty,1,41.31,41.31
800097,200050,5237,Books,1,11.8,11.8
800098,200051,5152,Beauty,2,7.8,15.6
800099,200052,5181,Electronics,3,573.23,1719.69
800100,200052,5038,Books,1,32.45,32.45
800101,200053,5209,Beauty,1,36.61,36.61
800102,200054,5185,Sports,1,70.22,70.22
800103,200055,5162,Toys,3,18.62,55.86
800104,200055,5241,Beauty,1,53.48,53.48
800105,200056,5212,Sports,1,29.01,29.01
800106,200057,5193,Home & Kitchen,1,92.29,92.29
800107,200057,5241,Beauty,1,53.48,53.48
800108,200058,5116,Beauty,2,27.95,55.9
800109,200058,5026,Beauty,1,26.75,26.75
800110,200059,5110,Clothing,1,47.53,47.53
800111,200060,5013,Home & Kitchen,1,73.85,73.85
800112,200060,5246,Beauty,3,41.07,123.21
800113,200061,5113,Sports,2,81.85,163.7
800114,200061,5118,Sports,1,50.73,50.73
800115,200061,5240,Sports,1,64.03,64.03
800116,200061,5174,Home & Kitchen,3,39.95,119.85
800117,200062,5056,Sports,2,85.1,170.2
800118,200062,5208,Home & Kitchen,1,64.16,64.16
800119,200062,5034,Beauty,1,36.33,36.33
800120,200063,5056,Sports,1,85.1,85.1
800121,200063,5139,Beauty,1,43.41,43.41
800122,200063,5002,Electronics,1,460.37,460.37
800123,200064,5240,Sports,2,64.03,128.06
800124,200064,5187,Home & Kitchen,1,129.17,129.17
800125,200064,5148,Electronics,1,620.1,620.1
800126,200064,5101,Beauty,1,17.26,17.26
800127,200065,5241,Beauty,1,53.48,53.48
800128,200065,5100,Clothing,1,69.04,69.04
800129,200065,5005,Electronics,1,466.82,466.82
800130,200065,5030,Home & Kitchen,1,68.87,68.87
800131,200065,5096,Beauty,1,24.68,24.68
800132,200066,5103,Home & Kitchen,2,110.49,220.98
800133,200066,5169,Beauty,1,5,5
800134,200066,5235,Home & Kitchen,1,118.13,118.13
800135,200067,5055,Books,1,29.64,29.64
800136,200067,5094,Home & Kitchen,1,134.91,134.91
800137,200067,5071,Beauty,2,18.78,37.56
800138,200068,5045,Clothing,1,83.2,83.2
800139,200068,5041,Sports,1,117.42,117.42
800140,200069,5129,Clothing,1,34.55,34.55
800141,200069,5124,Beauty,1,45.95,45.95
800142,200069,5250,Home & Kitchen,3,82.96,248.88
800143,200069,5165,Toys,1,38.74,38.74
800144,200070,5220,Toys,1,27.38,27.38
800145,200070,5088,Books,1,26.01,26.01
800146,200070,5034,Beauty,3,36.33,108.99
800147,200070,5127,Electronics,1,444.81,444.81
800148,200070,5089,Beauty,2,29.62,59.24
800149,200070,5004,Toys,1,28.35,28.35
800150,200071,5073,Home & Kitchen,1,52.13,52.13
800151,200071,5102,Toys,1,34.83,34.83
800152,200071,5160,Beauty,1,17.66,17.66
800153,200072,5235,Home & Kitchen,2,118.13,236.26
800154,200072,5013,Home & Kitchen,1,73.85,73.85
800155,200073,5053,Clothing,1,59.98,59.98
800156,200073,5142,Electronics,1,375.25,375.25
800157,200073,5001,Home & Kitchen,1,134.88,134.88
800158,200073,5215,Beauty,1,45.75,45.75
800159,200074,5229,Sports,1,75.63,75.63
800160,200074,5249,Home & Kitchen,1,92.52,92.52
800161,200074,5174,Home & Kitchen,2,39.95,79.9
800162,200074,5194,Books,1,36.02,36.02
800163,200075,5192,Home & Kitchen,2,56.91,113.82
800164,200075,5037,Books,1,21.01,21.01
800165,200075,5072,Home & Kitchen,1,68.39,68.39
800166,200075,5052,Toys,1,31.38,31.38
800167,200076,5076,Sports,3,45.12,135.36
800168,200076,5027,Beauty,1,19.59,19.59
800169,200076,5109,Home & Kitchen,1,102.65,102.65
800170,200076,5072,Home & Kitchen,1,68.39,68.39
800171,200076,5037,Books,1,21.01,21.01
800172,200077,5043,Home & Kitchen,1,124.51,124.51
800173,200078,5073,Home & Kitchen,2,52.13,104.26
800174,200078,5105,Electronics,1,247.09,247.09
800175,200078,5215,Beauty,3,45.75,137.25
800176,200078,5049,Electronics,2,279.32,558.64
800177,200078,5151,Electronics,2,360.16,720.32
800178,200078,5158,Home & Kitchen,1,41.36,41.36
800179,200079,5106,Home & Kitchen,3,103.08,309.24
800180,200080,5230,Electronics,2,251.07,502.14
800181,200080,5205,Beauty,2,29.04,58.08
800182,200081,5031,Toys,1,47.31,47.31
800183,200081,5165,Toys,1,38.74,38.74
800184,200082,5178,Home & Kitchen,1,44.62,44.62
800185,200082,5045,Clothing,1,83.2,83.2
800186,200083,5119,Clothing,2,35.79,71.58
800187,200083,5117,Books,1,15.28,15.28
800188,200084,5107,Books,1,18.64,18.64
800189,200085,5219,Sports,1,95.76,95.76
800190,200085,5117,Books,1,15.28,15.28
800191,200085,5057,Electronics,1,557.97,557.97
800192,200086,5099,Beauty,2,26.13,52.26
800193,200087,5130,Clothing,1,74.25,74.25
800194,200087,5228,Books,1,26.25,26.25
800195,200088,5219,Sports,3,95.76,287.28
800196,200089,5014,Home & Kitchen,1,73.96,73.96
800197,200090,5050,Electronics,1,617.56,617.56
800198,200091,5039,Toys,1,26.29,26.29
800199,200091,5009,Beauty,1,33.11,33.11
800200,200092,5163,Electronics,1,537.37,537.37
800201,200093,5038,Books,1,32.45,32.45
800202,200093,5174,Home & Kitchen,1,39.95,39.95
800203,200093,5164,Sports,1,77.81,77.81
800204,200094,5120,Home & Kitchen,1,70.42,70.42
800205,200094,5202,Toys,1,37.17,37.17
800206,200094,5078,Sports,1,55.4,55.4
800207,200095,5103,Home & Kitchen,3,110.49,331.47
800208,200095,5142,Electronics,3,375.25,1125.75
800209,200095,5223,Clothing,3,34.63,103.89
800210,200095,5018,Home & Kitchen,1,76.3,76.3
800211,200096,5106,Home & Kitchen,1,103.08,103.08
800212,200096,5211,Beauty,1,36.69,36.69
800213,200096,5238,Beauty,2,32.37,64.74
800214,200096,5204,Toys,1,28.99,28.99
800215,200097,5166,Clothing,2,72.77,145.54
800216,200097,5169,Beauty,1,5,5
800217,200097,5019,Clothing,1,58.12,58.12
800218,200098,5144,Clothing,1,73.17,73.17
800219,200098,5224,Beauty,1,60.41,60.41
800220,200098,5237,Books,1,11.8,11.8
800221,200099,5172,Toys,1,48.56,48.56
800222,200099,5004,Toys,1,28.35,28.35
800223,200100,5057,Electronics,1,557.97,557.97
800224,200100,5076,Sports,1,45.12,45.12
800225,200100,5202,Toys,1,37.17,37.17
800226,200101,5173,Beauty,3,41.31,123.93
800227,200102,5060,Clothing,1,69.44,69.44
800228,200103,5232,Electronics,2,373.73,747.46
800229,200104,5136,Electronics,1,366.92,366.92
800230,200105,5019,Clothing,1,58.12,58.12
800231,200106,5054,Toys,1,25.52,25.52
800232,200107,5075,Clothing,2,71.43,142.86
800233,200107,5138,Clothing,1,86.03,86.03
800234,200108,5055,Books,1,29.64,29.64
800235,200109,5212,Sports,1,29.01,29.01
800236,200109,5183,Sports,1,71.65,71.65
800237,200110,5178,Home & Kitchen,1,44.62,44.62
800238,200110,5228,Books,1,26.25,26.25
800239,200111,5095,Electronics,1,516.16,516.16
800240,200111,5154,Books,1,31.11,31.11
800241,200112,5109,Home & Kitchen,1,102.65,102.65
800242,200113,5007,Sports,1,87.89,87.89
800243,200113,5160,Beauty,2,17.66,35.32
800244,200114,5154,Books,1,31.11,31.11
800245,200114,5211,Beauty,1,36.69,36.69
800246,200115,5212,Sports,1,29.01,29.01
800247,200115,5103,Home & Kitchen,2,110.49,220.98
800248,200116,5114,Books,3,5,15
800249,200116,5063,Toys,1,26.94,26.94
800250,200117,5008,Electronics,1,18.74,18.74
800251,200117,5183,Sports,1,71.65,71.65
800252,200117,5048,Home & Kitchen,1,157.23,157.23
800253,200118,5031,Toys,1,47.31,47.31
800254,200118,5024,Clothing,1,66.92,66.92
800255,200119,5073,Home & Kitchen,1,52.13,52.13
800256,200120,5075,Clothing,2,71.43,142.86
800257,200120,5141,Home & Kitchen,1,82.5,82.5
800258,200121,5136,Electronics,2,366.92,733.84
800259,200121,5177,Sports,1,62.84,62.84
800260,200121,5076,Sports,1,45.12,45.12
800261,200122,5056,Sports,1,85.1,85.1
800262,200123,5126,Beauty,1,18.86,18.86
800263,200124,5201,Clothing,2,22.71,45.42
800264,200124,5040,Clothing,1,66.89,66.89
800265,200124,5046,Toys,1,34.12,34.12
800266,200125,5204,Toys,2,28.99,57.98
800267,200125,5209,Beauty,1,36.61,36.61
800268,200126,5024,Clothing,1,66.92,66.92
800269,200127,5065,Beauty,1,46.21,46.21
800270,200127,5193,Home & Kitchen,1,92.29,92.29
800271,200127,5029,Books,1,19.52,19.52
800272,200128,5076,Sports,3,45.12,135.36
800273,200128,5107,Books,1,18.64,18.64
800274,200129,5207,Clothing,2,41.31,82.62
800275,200130,5186,Clothing,2,37.58,75.16
800276,200130,5049,Electronics,1,279.32,279.32
800277,200131,5031,Toys,2,47.31,94.62
800278,200131,5056,Sports,1,85.1,85.1
800279,200131,5213,Toys,1,27.76,27.76
800280,200132,5247,Clothing,1,63.74,63.74
800281,200132,5107,Books,1,18.64,18.64
800282,200133,5040,Clothing,1,66.89,66.89
800283,200133,5010,Home & Kitchen,1,91.19,91.19
800284,200133,5074,Clothing,2,72.48,144.96
800285,200134,5044,Books,1,26.38,26.38
800286,200134,5120,Home & Kitchen,2,70.42,140.84
800287,200135,5058,Clothing,1,34.8,34.8
800288,200135,5249,Home & Kitchen,3,92.52,277.56
800289,200136,5070,Electronics,1,608.29,608.29
800290,200137,5164,Sports,1,77.81,77.81
800291,200137,5066,Sports,1,74.1,74.1
800292,200137,5203,Clothing,1,29.73,29.73
800293,200138,5192,Home & Kitchen,1,56.91,56.91
800294,200139,5054,Toys,2,25.52,51.04
800295,200139,5085,Books,2,17.78,35.56
800296,200140,5023,Sports,2,51.88,103.76
800297,200140,5135,Books,3,21.71,65.13
800298,200140,5185,Sports,1,70.22,70.22
800299,200141,5224,Beauty,1,60.41,60.41
800300,200141,5125,Books,1,35.82,35.82
800301,200142,5070,Electronics,1,608.29,608.29
800302,200143,5227,Beauty,2,42.45,84.9
800303,200144,5109,Home & Kitchen,1,102.65,102.65
800304,200144,5086,Sports,1,118.92,118.92
800305,200145,5016,Home & Kitchen,1,134.76,134.76
800306,200146,5183,Sports,1,71.65,71.65
800307,200146,5244,Clothing,1,55.64,55.64
800308,200147,5154,Books,3,31.11,93.33
800309,200148,5187,Home & Kitchen,1,129.17,129.17
800310,200148,5095,Electronics,2,516.16,1032.32
800311,200149,5050,Electronics,1,617.56,617.56
800312,200150,5041,Sports,1,117.42,117.42
800313,200151,5170,Beauty,2,27.89,55.78
800314,200151,5069,Sports,1,98.14,98.14
800315,200151,5199,Toys,1,43.66,43.66
800316,200151,5206,Clothing,2,66.33,132.66
800317,200152,5217,Home & Kitchen,1,65.17,65.17
800318,200153,5199,Toys,1,43.66,43.66
800319,200154,5171,Home & Kitchen,1,27.61,27.61
800320,200155,5245,Clothing,1,47.26,47.26
800321,200156,5220,Toys,1,27.38,27.38
800322,200156,5235,Home & Kitchen,1,118.13,118.13
800323,200157,5222,Electronics,1,101.71,101.71
800324,200157,5102,Toys,1,34.83,34.83
800325,200158,5135,Books,3,21.71,65.13
800326,200159,5155,Home & Kitchen,3,64.93,194.79
800327,200160,5157,Books,2,17.78,35.56
800328,200160,5219,Sports,1,95.76,95.76
800329,200161,5047,Clothing,2,5,10
800330,200161,5203,Clothing,2,29.73,59.46
800331,200161,5023,Sports,1,51.88,51.88
800332,200162,5241,Beauty,1,53.48,53.48
800333,200163,5046,Toys,2,34.12,68.24
800334,200164,5133,Clothing,1,32.28,32.28
800335,200165,5162,Toys,1,18.62,18.62
800336,200166,5081,Beauty,1,24.64,24.64
800337,200166,5198,Clothing,1,57.66,57.66
800338,200166,5199,Toys,2,43.66,87.32
800339,200166,5121,Toys,2,41.02,82.04
800340,200167,5087,Books,2,12.69,25.38
800341,200168,5201,Clothing,1,22.71,22.71
800342,200168,5023,Sports,2,51.88,103.76
800343,200168,5227,Beauty,1,42.45,42.45
800344,200169,5003,Electronics,1,904.76,904.76
800345,200170,5152,Beauty,1,7.8,7.8
800346,200170,5220,Toys,1,27.38,27.38
800347,200170,5086,Sports,1,118.92,118.92
800348,200171,5189,Electronics,2,309.96,619.92
800349,200172,5248,Clothing,1,30.41,30.41
800350,200173,5058,Clothing,1,34.8,34.8
800351,200174,5212,Sports,2,29.01,58.02
800352,200175,5234,Clothing,1,52.54,52.54
800353,200176,5154,Books,1,31.11,31.11
800354,200176,5167,Clothing,1,35.65,35.65
800355,200177,5002,Electronics,1,460.37,460.37
800356,200177,5202,Toys,1,37.17,37.17
800357,200177,5054,Toys,2,25.52,51.04
800358,200178,5247,Clothing,2,63.74,127.48
800359,200179,5074,Clothing,1,72.48,72.48
800360,200180,5001,Home & Kitchen,1,134.88,134.88
800361,200180,5226,Home & Kitchen,2,62.25,124.5
800362,200181,5106,Home & Kitchen,1,103.08,103.08
800363,200182,5013,Home & Kitchen,1,73.85,73.85
800364,200183,5021,Clothing,1,87.96,87.96
800365,200184,5160,Beauty,1,17.66,17.66
800366,200184,5177,Sports,1,62.84,62.84
800367,200184,5202,Toys,2,37.17,74.34
800368,200185,5125,Books,1,35.82,35.82
800369,200185,5165,Toys,1,38.74,38.74
800370,200186,5234,Clothing,1,52.54,52.54
800371,200186,5072,Home & Kitchen,1,68.39,68.39
800372,200186,5190,Electronics,1,424.13,424.13
800373,200187,5110,Clothing,1,47.53,47.53
800374,200188,5224,Beauty,1,60.41,60.41
800375,200188,5225,Books,1,25.41,25.41
800376,200189,5224,Beauty,1,60.41,60.41
800377,200190,5084,Beauty,1,38.01,38.01
800378,200191,5095,Electronics,1,516.16,516.16
800379,200192,5119,Clothing,1,35.79,35.79
800380,200193,5167,Clothing,2,35.65,71.3
800381,200193,5167,Clothing,2,35.65,71.3
800382,200193,5051,Books,1,12.46,12.46
800383,200194,5015,Books,1,18.22,18.22
800384,200194,5209,Beauty,1,36.61,36.61
800385,200195,5105,Electronics,1,247.09,247.09
800386,200195,5112,Clothing,1,27.02,27.02
800387,200195,5120,Home & Kitchen,3,70.42,211.26
800388,200196,5026,Beauty,1,26.75,26.75
800389,200196,5242,Home & Kitchen,1,126.31,126.31
800390,200196,5076,Sports,1,45.12,45.12
800391,200196,5082,Home & Kitchen,1,137.9,137.9
800392,200197,5231,Home & Kitchen,1,131.61,131.61
800393,200197,5080,Beauty,1,29.43,29.43
800394,200197,5137,Electronics,3,839.18,2517.54
800395,200198,5239,Home & Kitchen,1,52.36,52.36
800396,200198,5164,Sports,2,77.81,155.62
800397,200198,5118,Sports,2,50.73,101.46
800398,200199,5180,Home & Kitchen,1,29.46,29.46
800399,200199,5242,Home & Kitchen,2,126.31,252.62
800400,200199,5071,Beauty,1,18.78,18.78
800401,200199,5188,Books,1,18.37,18.37
800402,200200,5118,Sports,1,50.73,50.73
800403,200200,5036,Home & Kitchen,1,86.97,86.97
800404,200201,5043,Home & Kitchen,1,124.51,124.51
800405,200201,5022,Sports,2,39.09,78.18
800406,200201,5242,Home & Kitchen,1,126.31,126.31
800407,200202,5189,Electronics,1,309.96,309.96
800408,200202,5101,Beauty,1,17.26,17.26
800409,200203,5177,Sports,2,62.84,125.68
800410,200203,5161,Home & Kitchen,1,129.26,129.26
800411,200204,5231,Home & Kitchen,2,131.61,263.22
800412,200204,5010,Home & Kitchen,2,91.19,182.38
800413,200205,5176,Sports,3,60.31,180.93
800414,200205,5025,Electronics,2,309.83,619.66
800415,200205,5174,Home & Kitchen,1,39.95,39.95
800416,200205,5064,Clothing,1,33.04,33.04
800417,200206,5038,Books,1,32.45,32.45
800418,200206,5011,Beauty,1,41.93,41.93
800419,200206,5191,Clothing,2,71.46,142.92
800420,200206,5072,Home & Kitchen,1,68.39,68.39
800421,200207,5148,Electronics,1,620.1,620.1
800422,200207,5187,Home & Kitchen,1,129.17,129.17
800423,200207,5159,Clothing,1,68.99,68.99
800424,200208,5218,Clothing,2,57.63,115.26
800425,200208,5120,Home & Kitchen,1,70.42,70.42
800426,200209,5036,Home & Kitchen,3,86.97,260.91
800427,200209,5085,Books,1,17.78,17.78
800428,200210,5162,Toys,2,18.62,37.24
800429,200210,5046,Toys,1,34.12,34.12
800430,200211,5186,Clothing,1,37.58,37.58
800431,200212,5202,Toys,1,37.17,37.17
800432,200212,5037,Books,1,21.01,21.01
800433,200213,5092,Toys,3,18.2,54.6
800434,200214,5205,Beauty,1,29.04,29.04
800435,200214,5003,Electronics,1,904.76,904.76
800436,200214,5030,Home & Kitchen,3,68.87,206.61
800437,200215,5037,Books,1,21.01,21.01
800438,200215,5009,Beauty,1,33.11,33.11
800439,200215,5014,Home & Kitchen,1,73.96,73.96
800440,200215,5117,Books,1,15.28,15.28
800441,200216,5141,Home & Kitchen,1,82.5,82.5
800442,200217,5172,Toys,1,48.56,48.56
800443,200217,5236,Books,1,22.5,22.5
800444,200218,5209,Beauty,2,36.61,73.22
800445,200218,5046,Toys,1,34.12,34.12
800446,200219,5025,Electronics,1,309.83,309.83
800447,200220,5032,Clothing,1,32.31,32.31
800448,200220,5210,Books,1,18.04,18.04
800449,200221,5017,Electronics,1,5,5
800450,200221,5003,Electronics,1,904.76,904.76
800451,200222,5136,Electronics,1,366.92,366.92
800452,200223,5016,Home & Kitchen,1,134.76,134.76
800453,200224,5044,Books,1,26.38,26.38
800454,200225,5175,Sports,1,94.38,94.38
800455,200225,5114,Books,2,5,10
800456,200225,5175,Sports,1,94.38,94.38
800457,200226,5116,Beauty,1,27.95,27.95
800458,200226,5039,Toys,1,26.29,26.29
800459,200227,5005,Electronics,1,466.82,466.82
800460,200228,5086,Sports,1,118.92,118.92
800461,200229,5113,Sports,1,81.85,81.85
800462,200230,5078,Sports,1,55.4,55.4
800463,200230,5152,Beauty,1,7.8,7.8
800464,200231,5004,Toys,1,28.35,28.35
800465,200232,5069,Sports,1,98.14,98.14
800466,200233,5039,Toys,2,26.29,52.58
800467,200234,5060,Clothing,1,69.44,69.44
800468,200235,5037,Books,1,21.01,21.01
800469,200236,5210,Books,1,18.04,18.04
800470,200237,5111,Beauty,1,24.63,24.63
800471,200238,5207,Clothing,1,41.31,41.31
800472,200238,5092,Toys,1,18.2,18.2
800473,200239,5079,Sports,1,54.97,54.97
800474,200239,5068,Clothing,1,61.74,61.74
800475,200239,5022,Sports,1,39.09,39.09
800476,200239,5144,Clothing,2,73.17,146.34
800477,200240,5180,Home & Kitchen,2,29.46,58.92
800478,200240,5041,Sports,2,117.42,234.84
800479,200240,5230,Electronics,1,251.07,251.07
800480,200240,5030,Home & Kitchen,1,68.87,68.87
800481,200240,5082,Home & Kitchen,2,137.9,275.8
800482,200241,5212,Sports,1,29.01,29.01
800483,200241,5220,Toys,2,27.38,54.76
800484,200241,5227,Beauty,1,42.45,42.45
800485,200242,5084,Beauty,1,38.01,38.01
800486,200242,5133,Clothing,1,32.28,32.28
800487,200243,5143,Sports,1,62.96,62.96
800488,200243,5013,Home & Kitchen,1,73.85,73.85
800489,200244,5059,Home & Kitchen,1,87.4,87.4
800490,200244,5121,Toys,1,41.02,41.02
800491,200244,5181,Electronics,1,573.23,573.23
800492,200245,5211,Beauty,1,36.69,36.69
800493,200245,5208,Home & Kitchen,1,64.16,64.16
800494,200245,5124,Beauty,1,45.95,45.95
800495,200245,5152,Beauty,2,7.8,15.6
800496,200245,5073,Home & Kitchen,3,52.13,156.39
800497,200246,5031,Toys,2,47.31,94.62
800498,200246,5018,Home & Kitchen,1,76.3,76.3
800499,200246,5098,Beauty,1,29.95,29.95
800500,200247,5177,Sports,1,62.84,62.84
800501,200247,5117,Books,1,15.28,15.28
800502,200248,5173,Beauty,1,41.31,41.31
800503,200248,5208,Home & Kitchen,1,64.16,64.16
800504,200249,5195,Home & Kitchen,1,99.55,99.55
800505,200249,5137,Electronics,2,839.18,1678.36
800506,200249,5140,Clothing,1,80.15,80.15
800507,200249,5122,Electronics,1,303.62,303.62
800508,200250,5099,Beauty,1,26.13,26.13
800509,200250,5036,Home & Kitchen,3,86.97,260.91
800510,200250,5232,Electronics,1,373.73,373.73
800511,200250,5132,Electronics,1,367.78,367.78
800512,200251,5092,Toys,2,18.2,36.4
800513,200251,5055,Books,1,29.64,29.64
800514,200251,5153,Electronics,1,443.78,443.78
800515,200252,5211,Beauty,3,36.69,110.07
800516,200253,5060,Clothing,2,69.44,138.88
800517,200254,5148,Electronics,2,620.1,1240.2
800518,200254,5170,Beauty,3,27.89,83.67
800519,200254,5102,Toys,1,34.83,34.83
800520,200255,5079,Sports,1,54.97,54.97
800521,200256,5107,Books,2,18.64,37.28
800522,200256,5031,Toys,2,47.31,94.62
800523,200256,5102,Toys,1,34.83,34.83
800524,200256,5142,Electronics,1,375.25,375.25
800525,200257,5063,Toys,2,26.94,53.88
800526,200258,5023,Sports,1,51.88,51.88
800527,200258,5062,Electronics,3,393.24,1179.72
800528,200259,5176,Sports,1,60.31,60.31
800529,200260,5002,Electronics,1,460.37,460.37
800530,200260,5007,Sports,3,87.89,263.67
800531,200260,5135,Books,1,21.71,21.71
800532,200260,5102,Toys,1,34.83,34.83
800533,200261,5085,Books,2,17.78,35.56
800534,200261,5224,Beauty,1,60.41,60.41
800535,200261,5159,Clothing,1,68.99,68.99
800536,200262,5092,Toys,1,18.2,18.2
800537,200263,5053,Clothing,1,59.98,59.98
800538,200264,5214,Electronics,1,338.45,338.45
800539,200264,5061,Home & Kitchen,2,77.91,155.82
800540,200265,5037,Books,1,21.01,21.01
800541,200266,5112,Clothing,1,27.02,27.02
800542,200267,5051,Books,1,12.46,12.46
800543,200267,5232,Electronics,1,373.73,373.73
800544,200267,5121,Toys,1,41.02,41.02
800545,200268,5077,Home & Kitchen,2,133.5,267
800546,200268,5051,Books,1,12.46,12.46
800547,200268,5118,Sports,1,50.73,50.73
800548,200269,5216,Electronics,1,537.33,537.33
800549,200269,5211,Beauty,1,36.69,36.69
800550,200270,5117,Books,1,15.28,15.28
800551,200271,5081,Beauty,3,24.64,73.92
800552,200271,5039,Toys,1,26.29,26.29
800553,200272,5083,Clothing,1,68.44,68.44
800554,200273,5058,Clothing,1,34.8,34.8
800555,200273,5229,Sports,1,75.63,75.63
800556,200273,5174,Home & Kitchen,1,39.95,39.95
800557,200273,5085,Books,1,17.78,17.78
800558,200274,5033,Electronics,1,382.22,382.22
800559,200275,5054,Toys,1,25.52,25.52
800560,200275,5072,Home & Kitchen,1,68.39,68.39
800561,200275,5066,Sports,1,74.1,74.1
800562,200276,5189,Electronics,1,309.96,309.96
800563,200277,5140,Clothing,1,80.15,80.15
800564,200278,5087,Books,1,12.69,12.69
800565,200279,5239,Home & Kitchen,2,52.36,104.72
800566,200279,5202,Toys,1,37.17,37.17
800567,200279,5084,Beauty,1,38.01,38.01
800568,200279,5202,Toys,1,37.17,37.17
800569,200280,5123,Clothing,2,56.86,113.72
800570,200281,5215,Beauty,1,45.75,45.75
800571,200281,5076,Sports,1,45.12,45.12
800572,200281,5027,Beauty,1,19.59,19.59
800573,200282,5104,Clothing,1,65.78,65.78
800574,200282,5147,Clothing,1,69.88,69.88
800575,200283,5200,Electronics,2,551.18,1102.36
800576,200284,5083,Clothing,1,68.44,68.44
