order_id,customer_id,order_date,order_year,order_month,device,channel,discount_pct,gross_amount,discount_amount,net_amount,free_shipping,ab_variant,is_returned
200061,10016,2024-11-11,2024,11,Desktop,Paid Search,5,398.31,19.92,378.39,1,A,0
200062,10016,2023-11-01,2023,11,Desktop,Paid Search,0,270.69,0,270.69,1,,0
200063,10016,2024-08-08,2024,8,Mobile,Paid Search,0,588.88,0,571.21,1,B,0
200064,10016,2023-11-16,2023,11,Desktop,Influencer,5,894.59,44.73,849.86,1,,0
200065,10016,2023-05-25,2023,5,Desktop,Referral,5,682.89,34.14,648.75,1,,0
200066,10016,2023-11-11,2023,11,Mobile,Organic,20,344.11,68.82,275.29,1,,0
200067,10016,2022-11-22,2022,11,Tablet,Organic,0,202.11,0,202.11,1,,0
200068,10016,2022-11-18,2022,11,Mobile,Paid Search,0,200.62,0,200.62,1,,0
200069,10016,2022-11-03,2022,11,Desktop,Organic,0,368.12,0,368.12,1,,0
200070,10016,2024-12-24,2024,12,Desktop,Paid Search,10,694.78,69.48,625.3,1,A,0
200071,10016,2023-07-10,2023,7,Mobile,Influencer,0,104.62,0,104.62,1,,0
200072,10016,2023-01-21,2023,1,Mobile,Organic,0,310.11,0,310.11,1,,0
200073,10016,2024-12-04,2024,12,Desktop,Paid Search,0,615.86,0,597.38,1,B,1
200074,10016,2022-12-18,2022,12,Tablet,Referral,0,284.07,0,284.07,1,,0
200075,10016,2023-12-01,2023,12,Mobile,Influencer,0,234.6,0,234.6,1,,0
200076,10016,2024-06-26,2024,6,Tablet,Email,0,347,0,336.59,1,B,0
200077,10016,2024-12-23,2024,12,Mobile,Organic,0,124.51,0,124.51,1,A,0
200078,10016,2022-12-13,2022,12,Mobile,Paid Search,0,1808.92,0,1808.92,1,,1
200079,10017,2024-08-26,2024,8,Tablet,Social Ads,40,309.24,123.7,185.54,1,A,0
200080,10017,2024-12-04,2024,12,Mobile,Influencer,20,560.22,112.04,434.73,1,B,0
200081,10018,2024-02-04,2024,2,Mobile,Organic,0,86.05,0,86.05,1,,0
200082,10018,2024-07-01,2024,7,Desktop,Paid Search,5,127.82,6.39,121.43,1,A,0
200083,10018,2024-12-16,2024,12,Mobile,Email,5,86.86,4.34,82.52,1,A,0
200084,10018,2023-11-03,2023,11,Desktop,Influencer,0,18.64,0,18.64,0,,0
200085,10019,2023-11-02,2023,11,Desktop,Social Ads,0,669.01,0,669.01,1,,0
200086,10019,2023-12-10,2023,12,Desktop,Paid Search,0,52.26,0,52.26,1,,0
200087,10019,2023-11-18,2023,11,Mobile,Social Ads,0,100.5,0,100.5,1,,0
200088,10019,2024-05-02,2024,5,Mobile,Organic,0,287.28,0,287.28,1,,1
200089,10019,2022-08-26,2022,8,Desktop,Referral,0,73.96,0,73.96,1,,0
200090,10019,2023-12-16,2023,12,Desktop,Organic,15,617.56,92.63,524.93,1,,0
200091,10019,2023-02-19,2023,2,Desktop,Influencer,0,59.4,0,59.4,1,,0
200092,10019,2023-11-17,2023,11,Mobile,Paid Search,15,537.37,80.61,456.76,1,,1
200093,10019,2023-07-11,2023,7,Mobile,Organic,15,150.21,22.53,127.68,1,,0
200094,10020,2023-08-16,2023,8,Desktop,Organic,0,162.99,0,162.99,1,,0
200095,10020,2023-12-27,2023,12,Desktop,Email,0,1637.41,0,1637.41,1,,0
200096,10020,2024-08-20,2024,8,Desktop,Organic,0,233.5,0,233.5,1,A,0
200097,10021,2023-12-17,2023,12,Desktop,Email,5,208.66,10.43,198.23,1,,0
200098,10021,2022-07-09,2022,7,Tablet,Influencer,0,145.38,0,145.38,1,,0
200099,10021,2024-12-15,2024,12,Mobile,Email,0,76.91,0,74.6,1,B,0
200100,10021,2024-03-07,2024,3,Mobile,Social Ads,0,640.26,0,640.26,1,,0
200101,10022,2023-11-17,2023,11,Desktop,Influencer,10,123.93,12.39,111.54,1,,1
200102,10022,2024-03-09,2024,3,Mobile,Social Ads,10,69.44,6.94,62.5,1,,0
200103,10022,2023-05-27,2023,5,Desktop,Email,0,747.46,0,747.46,1,,0
200104,10022,2024-07-05,2024,7,Desktop,Social Ads,0,366.92,0,355.91,1,B,0
200105,10023,2024-10-12,2024,10,Mobile,Referral,0,58.12,0,56.38,1,B,0
200106,10024,2024-06-20,2024,6,Mobile,Paid Search,0,25.52,0,24.75,0,B,0
200107,10024,2022-08-05,2022,8,Mobile,Referral,0,228.89,0,228.89,1,,0
200108,10024,2023-10-03,2023,10,Desktop,Paid Search,20,29.64,5.93,23.71,0,,0
200109,10024,2022-08-17,2022,8,Mobile,Influencer,5,100.66,5.03,95.63,1,,0
200110,10024,2023-05-28,2023,5,Desktop,Referral,0,70.87,0,70.87,1,,0
200111,10024,2023-06-11,2023,6,Mobile,Influencer,0,547.27,0,547.27,1,,0
200112,10025,2023-12-05,2023,12,Mobile,Influencer,40,102.65,41.06,61.59,1,,0
200113,10025,2023-02-01,2023,2,Tablet,Influencer,30,123.21,36.96,86.25,1,,0
200114,10026,2024-09-09,2024,9,Mobile,Influencer,0,67.8,0,65.77,1,B,0
200115,10026,2024-12-10,2024,12,Mobile,Organic,0,249.99,0,249.99,1,A,0
200116,10027,2023-11-25,2023,11,Tablet,Paid Search,0,41.94,0,41.94,0,,0
200117,10028,2024-11-08,2024,11,Mobile,Organic,0,247.62,0,247.62,1,A,0
200118,10028,2024-12-07,2024,12,Mobile,Organic,15,114.23,17.13,97.1,1,A,0
200119,10028,2024-11-11,2024,11,Desktop,Organic,0,52.13,0,50.57,1,B,0
200120,10029,2024-10-20,2024,10,Tablet,Organic,10,225.36,22.54,196.74,1,B,0
200121,10030,2024-12-04,2024,12,Desktop,Paid Search,15,841.8,126.27,715.53,1,A,0
200122,10030,2024-08-06,2024,8,Mobile,Influencer,5,85.1,4.25,80.85,1,A,0
200123,10030,2024-08-11,2024,8,Mobile,Organic,20,18.86,3.77,14.64,0,B,0
200124,10031,2024-07-18,2024,7,Tablet,Organic,0,146.43,0,146.43,1,A,0
200125,10031,2024-06-05,2024,6,Mobile,Influencer,0,94.59,0,91.75,1,B,0
200126,10031,2023-11-24,2023,11,Mobile,Organic,5,66.92,3.35,63.57,1,,0
200127,10031,2024-09-23,2024,9,Mobile,Influencer,0,158.02,0,158.02,1,A,0
200128,10031,2024-03-22,2024,3,Desktop,Organic,5,154,7.7,146.3,1,,0
200129,10031,2024-05-18,2024,5,Mobile,Organic,0,82.62,0,82.62,1,,0
200130,10031,2023-11-12,2023,11,Desktop,Influencer,0,354.48,0,354.48,1,,1
200131,10032,2024-08-23,2024,8,Desktop,Influencer,0,207.48,0,207.48,1,A,0
200132,10032,2022-12-24,2022,12,Mobile,Referral,10,82.38,8.24,74.14,1,,0
200133,10032,2023-05-23,2023,5,Mobile,Social Ads,0,303.04,0,303.04,1,,1
200134,10033,2024-11-16,2024,11,Desktop,Email,5,167.22,8.36,158.86,1,A,0
200135,10033,2024-09-17,2024,9,Desktop,Influencer,0,312.36,0,312.36,1,A,0
200136,10033,2024-12-09,2024,12,Mobile,Influencer,0,608.29,0,608.29,1,A,0
200137,10034,2023-10-11,2023,10,Mobile,Referral,0,181.64,0,181.64,1,,0
200138,10034,2023-12-11,2023,12,Mobile,Influencer,10,56.91,5.69,51.22,1,,0
200139,10034,2024-08-14,2024,8,Desktop,Referral,5,86.6,4.33,79.8,1,B,0
200140,10035,2023-05-13,2023,5,Desktop,Email,30,239.11,71.73,167.38,1,,0
200141,10035,2024-09-14,2024,9,Desktop,Organic,20,96.23,19.25,76.98,1,A,0
200142,10035,2023-07-20,2023,7,Mobile,Organic,30,608.29,182.49,425.8,1,,0
200143,10036,2024-11-19,2024,11,Mobile,Social Ads,0,84.9,0,84.9,1,A,0
200144,10036,2024-01-25,2024,1,Mobile,Influencer,0,221.57,0,221.57,1,,0
200145,10037,2024-11-14,2024,11,Mobile,Influencer,0,134.76,0,134.76,1,A,0
200146,10037,2024-06-14,2024,6,Desktop,Email,0,127.29,0,127.29,1,A,0
200147,10038,2024-01-27,2024,1,Desktop,Organic,10,93.33,9.33,84,1,,0
200148,10038,2024-12-11,2024,12,Mobile,Email,0,1161.49,0,1126.65,1,B,0
200149,10038,2024-11-18,2024,11,Mobile,Influencer,0,617.56,0,599.03,1,B,1
200150,10039,2024-09-12,2024,9,Desktop,Organic,0,117.42,0,117.42,1,A,0
200151,10039,2022-08-28,2022,8,Mobile,Organic,5,330.24,16.51,313.73,1,,0
200152,10039,2022-09-01,2022,9,Desktop,Influencer,5,65.17,3.26,61.91,1,,0
200153,10040,2023-12-15,2023,12,Desktop,Influencer,0,43.66,0,43.66,0,,0
200154,10040,2024-11-18,2024,11,Desktop,Influencer,5,27.61,1.38,25.44,0,B,0
200155,10040,2024-12-07,2024,12,Mobile,Influencer,0,47.26,0,47.26,0,A,0
200156,10041,2024-08-24,2024,8,Desktop,Paid Search,5,145.51,7.28,134.08,1,B,0
200157,10041,2024-12-27,2024,12,Tablet,Paid Search,10,136.54,13.65,119.2,1,B,0
200158,10042,2022-06-28,2022,6,Desktop,Email,10,65.13,6.51,58.62,1,,0
200159,10043,2023-08-11,2023,8,Mobile,Influencer,30,194.79,58.44,136.35,1,,1
200160,10044,2024-12-15,2024,12,Mobile,Paid Search,5,131.32,6.57,124.75,1,A,0
200161,10044,2024-12-21,2024,12,Mobile,Paid Search,5,121.34,6.07,111.81,1,B,0
200162,10044,2024-10-01,2024,10,Tablet,Organic,0,53.48,0,53.48,1,A,0
200163,10045,2023-12-20,2023,12,Mobile,Organic,10,68.24,6.82,61.42,1,,0
200164,10045,2024-08-18,2024,8,Tablet,Paid Search,0,32.28,0,31.31,0,B,1
200165,10045,2024-07-13,2024,7,Mobile,Influencer,0,18.62,0,18.06,0,B,0
200166,10046,2024-12-09,2024,12,Mobile,Email,5,251.66,12.58,231.91,1,B,0
200167,10047,2023-12-22,2023,12,Mobile,Organic,0,25.38,0,25.38,0,,0
200168,10047,2024-11-19,2024,11,Mobile,Organic,10,168.92,16.89,152.03,1,A,1
200169,10047,2024-12-16,2024,12,Mobile,Email,10,904.76,90.48,814.28,1,A,0
200170,10047,2023-09-06,2023,9,Mobile,Social Ads,15,154.1,23.11,130.99,1,,0
200171,10047,2023-09-25,2023,9,Mobile,Social Ads,0,619.92,0,619.92,1,,0
200172,10047,2023-11-02,2023,11,Mobile,Organic,0,30.41,0,30.41,0,,0
200173,10047,2024-07-05,2024,7,Desktop,Social Ads,10,34.8,3.48,31.32,0,A,1
200174,10047,2024-11-07,2024,11,Mobile,Referral,0,58.02,0,58.02,1,A,0
200175,10047,2024-02-05,2024,2,Mobile,Paid Search,0,52.54,0,52.54,1,,0
200176,10047,2024-11-24,2024,11,Mobile,Email,0,66.76,0,66.76,1,A,0
200177,10048,2022-08-20,2022,8,Desktop,Email,0,548.58,0,548.58,1,,0
200178,10048,2024-12-22,2024,12,Desktop,Social Ads,0,127.48,0,123.66,1,B,1
200179,10048,2023-11-05,2023,11,Desktop,Social Ads,0,72.48,0,72.48,1,,0
200180,10049,2024-07-31,2024,7,Mobile,Social Ads,40,259.38,103.75,150.96,1,B,0
200181,10050,2024-12-13,2024,12,Desktop,Social Ads,0,103.08,0,103.08,1,A,0
200182,10050,2024-10-13,2024,10,Desktop,Organic,0,73.85,0,71.63,1,B,0
200183,10050,2024-09-23,2024,9,Mobile,Organic,10,87.96,8.8,76.79,1,B,1
200184,10050,2023-11-27,2023,11,Desktop,Paid Search,15,154.84,23.23,131.61,1,,0
200185,10050,2024-07-25,2024,7,Desktop,Referral,0,74.56,0,74.56,1,A,0
200186,10051,2024-04-13,2024,4,Mobile,Organic,30,545.06,163.52,381.54,1,,0
200187,10051,2023-12-15,2023,12,Desktop,Organic,30,47.53,14.26,33.27,0,,0
200188,10051,2024-04-20,2024,4,Desktop,Social Ads,30,85.82,25.75,60.07,1,,0
200189,10052,2024-11-13,2024,11,Mobile,Email,30,60.41,18.12,41.02,0,B,0
200190,10053,2024-06-22,2024,6,Desktop,Organic,20,38.01,7.6,29.5,0,B,0
200191,10053,2024-12-02,2024,12,Mobile,Organic,10,516.16,51.62,464.54,1,A,1
200192,10053,2024-11-13,2024,11,Mobile,Organic,10,35.79,3.58,31.24,0,B,0
200193,10054,2023-11-03,2023,11,Desktop,Social Ads,15,155.06,23.26,131.8,1,,0
200194,10055,2023-12-28,2023,12,Tablet,Email,5,54.83,2.74,52.09,1,,0
200195,10055,2024-08-05,2024,8,Tablet,Influencer,0,485.37,0,470.81,1,B,0
200196,10055,2024-12-07,2024,12,Desktop,Influencer,5,336.08,16.8,319.28,1,A,0
200197,10055,2024-04-08,2024,4,Desktop,Email,10,2678.58,267.86,2410.72,1,,0
200198,10056,2024-09-08,2024,9,Tablet,Organic,15,309.44,46.42,255.13,1,B,0
200199,10056,2024-09-15,2024,9,Mobile,Email,15,319.23,47.88,263.21,1,B,0
200200,10056,2023-10-14,2023,10,Desktop,Referral,20,137.7,27.54,110.16,1,,0
200201,10056,2024-10-09,2024,10,Desktop,Social Ads,0,329,0,329,1,A,0
200202,10056,2024-07-22,2024,7,Mobile,Organic,5,327.22,16.36,310.86,1,A,0
200203,10056,2024-12-01,2024,12,Desktop,Organic,0,254.94,0,254.94,1,A,0
200204,10056,2023-10-19,2023,10,Mobile,Email,0,445.6,0,445.6,1,,0
200205,10056,2024-12-04,2024,12,Mobile,Influencer,0,873.58,0,873.58,1,A,0
200206,10056,2024-06-23,2024,6,Mobile,Email,0,285.69,0,277.12,1,B,0
200207,10056,2024-05-17,2024,5,Mobile,Email,10,818.26,81.83,736.43,1,,1
200208,10057,2024-12-12,2024,12,Mobile,Influencer,15,185.68,27.85,157.83,1,A,1
200209,10058,2024-06-26,2024,6,Mobile,Organic,0,278.69,0,270.33,1,B,0
200210,10058,2024-10-09,2024,10,Mobile,Organic,0,71.36,0,71.36,1,A,0
200211,10058,2024-04-28,2024,4,Mobile,Organic,5,37.58,1.88,35.7,0,,1
200212,10058,2023-12-01,2023,12,Mobile,Social Ads,5,58.18,2.91,55.27,1,,0
200213,10059,2024-12-31,2024,12,Mobile,Paid Search,0,54.6,0,54.6,1,A,0
200214,10059,2024-12-16,2024,12,Mobile,Email,10,1345.68,114.04,1211.12,1,B,1
200215,10059,2024-12-28,2024,12,Mobile,Organic,0,169.16,0,169.16,1,B,0
200216,10060,2024-07-09,2024,7,Mobile,Organic,0,82.5,0,80.02,1,B,0
200217,10060,2024-08-16,2024,8,Mobile,Influencer,0,71.06,0,68.93,1,B,1
200218,10060,2023-12-24,2023,12,Mobile,Paid Search,0,107.34,0,107.34,1,,0
200219,10060,2023-11-07,2023,11,Mobile,Email,10,309.83,30.98,278.85,1,,0
200220,10060,2024-12-24,2024,12,Desktop,Social Ads,0,50.35,0,48.84,1,B,0
200221,10060,2024-06-28,2024,6,Mobile,Referral,0,909.76,0,882.47,1,B,0
200222,10060,2024-08-15,2024,8,Tablet,Email,0,366.92,0,355.91,1,B,1
200223,10061,2024-02-25,2024,2,Mobile,Influencer,0,134.76,0,134.76,1,,0
200224,10061,2023-08-19,2023,8,Mobile,Paid Search,0,26.38,0,26.38,0,,0
200225,10061,2023-05-16,2023,5,Desktop,Social Ads,0,198.76,0,198.76,1,,0
200226,10062,2023-12-09,2023,12,Desktop,Social Ads,15,54.24,8.14,46.1,0,,0
200227,10063,2024-12-08,2024,12,Tablet,Organic,5,466.82,23.34,443.48,1,A,0
200228,10063,2024-11-12,2024,11,Desktop,Referral,10,118.92,11.89,107.03,1,A,0
200229,10063,2024-12-23,2024,12,Mobile,Paid Search,0,81.85,0,81.85,1,A,0
200230,10063,2024-12-02,2024,12,Mobile,Organic,0,63.2,0,63.2,1,A,0
200231,10063,2024-12-26,2024,12,Desktop,Influencer,10,33.45,2.83,30.11,0,B,0
200232,10063,2024-12-01,2024,12,Desktop,Paid Search,10,98.14,9.81,88.33,1,A,0
200233,10063,2024-12-03,2024,12,Mobile,Social Ads,5,62.04,2.63,58.94,0,B,0
200234,10064,2024-12-15,2024,12,Desktop,Organic,0,69.44,0,67.36,1,B,0
200235,10064,2024-12-14,2024,12,Mobile,Social Ads,0,21.01,0,20.38,0,B,0
200236,10064,2024-08-27,2024,8,Mobile,Paid Search,10,18.04,1.8,16.24,0,A,0
200237,10064,2024-12-19,2024,12,Desktop,Organic,0,24.63,0,24.63,0,A,0
200238,10065,2024-12-02,2024,12,Desktop,Influencer,0,59.51,0,57.72,1,B,0
200239,10066,2024-10-04,2024,10,Desktop,Organic,0,356.53,0,356.53,1,B,0
200240,10066,2024-12-02,2024,12,Mobile,Paid Search,0,889.5,0,862.81,1,B,0
200241,10066,2024-09-19,2024,9,Desktop,Referral,5,126.22,6.31,119.91,1,A,0
200242,10066,2024-12-11,2024,12,Mobile,Email,0,70.29,0,68.18,1,B,0
200243,10066,2024-09-08,2024,9,Desktop,Organic,0,136.81,0,136.81,1,A,0
200244,10066,2024-11-11,2024,11,Desktop,Email,0,701.65,0,701.65,1,A,0
200245,10066,2024-10-23,2024,10,Mobile,Influencer,0,318.79,0,318.79,1,A,1
200246,10066,2024-10-27,2024,10,Desktop,Paid Search,0,200.87,0,200.87,1,A,0
200247,10066,2024-11-26,2024,11,Mobile,Email,20,78.12,15.62,60.62,1,B,0
200248,10066,2024-12-09,2024,12,Desktop,Paid Search,5,105.47,5.27,97.19,1,B,0
200249,10066,2024-12-15,2024,12,Desktop,Paid Search,0,2161.68,0,2161.68,1,A,0
200250,10067,2024-07-02,2024,7,Mobile,Influencer,20,1028.55,205.71,822.84,1,A,0
200251,10067,2023-04-22,2023,4,Desktop,Paid Search,5,509.82,25.49,484.33,1,,0
200252,10067,2024-11-08,2024,11,Desktop,Social Ads,0,110.07,0,110.07,1,A,0
200253,10067,2024-05-01,2024,5,Mobile,Referral,0,138.88,0,138.88,1,,0
200254,10067,2023-06-21,2023,6,Mobile,Organic,5,1358.7,67.94,1290.76,1,,0
200255,10067,2024-11-10,2024,11,Tablet,Referral,0,54.97,0,54.97,1,A,0
200256,10067,2024-12-18,2024,12,Mobile,Organic,0,541.98,0,525.72,1,B,0
200257,10067,2024-04-22,2024,4,Mobile,Email,0,53.88,0,53.88,1,,0
200258,10067,2023-07-07,2023,7,Tablet,Paid Search,5,1231.6,61.58,1170.02,1,,0
200259,10067,2024-11-28,2024,11,Mobile,Social Ads,0,60.31,0,60.31,1,A,0
200260,10067,2023-11-24,2023,11,Desktop,Social Ads,0,780.58,0,780.58,1,,0
200261,10068,2024-12-04,2024,12,Desktop,Paid Search,5,164.96,8.25,152.01,1,B,0
200262,10068,2024-07-26,2024,7,Tablet,Social Ads,10,18.2,1.82,15.89,0,B,0
200263,10069,2024-10-19,2024,10,Desktop,Organic,0,59.98,0,58.18,1,B,1
200264,10069,2024-05-18,2024,5,Desktop,Social Ads,0,494.27,0,494.27,1,,0
200265,10069,2024-04-25,2024,4,Desktop,Influencer,0,21.01,0,21.01,0,,0
200266,10069,2024-08-11,2024,8,Mobile,Organic,0,27.02,0,26.21,0,B,0
200267,10069,2023-01-12,2023,1,Desktop,Influencer,0,427.21,0,427.21,1,,0
200268,10069,2024-07-26,2024,7,Mobile,Organic,0,330.19,0,320.28,1,B,0
200269,10069,2023-07-16,2023,7,Mobile,Social Ads,20,574.02,114.8,459.22,1,,1
200270,10070,2024-10-18,2024,10,Mobile,Organic,10,18.03,1.53,16.22,0,B,0
200271,10070,2024-11-02,2024,11,Desktop,Email,15,100.21,15.03,85.18,1,A,0
200272,10071,2024-08-06,2024,8,Mobile,Email,0,68.44,0,68.44,1,A,0
200273,10072,2024-10-14,2024,10,Mobile,Social Ads,5,168.16,8.41,154.96,1,B,0
200274,10073,2024-08-14,2024,8,Mobile,Social Ads,20,451.02,76.44,360.82,1,B,0
200275,10074,2024-12-15,2024,12,Mobile,Organic,0,168.01,0,162.97,1,B,0
200276,10074,2024-10-20,2024,10,Desktop,Social Ads,0,309.96,0,309.96,1,A,0
200277,10074,2024-11-14,2024,11,Mobile,Paid Search,15,94.58,12.02,80.39,1,B,0
200278,10075,2022-11-07,2022,11,Mobile,Referral,5,12.69,0.63,12.06,0,,0
200279,10076,2023-11-18,2023,11,Desktop,Influencer,0,217.07,0,217.07,1,,0
200280,10076,2024-08-24,2024,8,Mobile,Social Ads,10,113.72,11.37,102.35,1,A,1
200281,10076,2023-12-05,2023,12,Desktop,Organic,5,110.46,5.52,104.94,1,,0
200282,10077,2024-10-13,2024,10,Desktop,Social Ads,30,135.66,40.7,92.11,1,B,1
200283,10077,2024-10-07,2024,10,Mobile,Paid Search,30,1102.36,330.71,748.5,1,B,0
200284,10077,2024-12-30,2024,12,Mobile,Influencer,10,68.44,6.84,59.75,1,B,0
200285,10078,2024-03-12,2024,3,Desktop,Social Ads,0,110.41,0,110.41,1,,0
200286,10078,2024-04-07,2024,4,Tablet,Paid Search,15,294.84,44.23,250.61,1,,0
200287,10079,2023-11-06,2023,11,Mobile,Referral,10,439.9,43.99,395.91,1,,0
200288,10079,2024-08-15,2024,8,Mobile,Influencer,0,92.34,0,92.34,1,A,0
200289,10079,2022-11-24,2022,11,Mobile,Email,0,133.5,0,133.5,1,,0
200290,10079,2022-05-28,2022,5,Mobile,Organic,0,54.97,0,54.97,1,,0
200291,10080,2024-07-18,2024,7,Mobile,Organic,0,688.53,0,688.53,1,B,0
200292,10080,2024-12-19,2024,12,Mobile,Organic,0,17.78,0,17.78,0,A,0
200293,10080,2024-12-07,2024,12,Desktop,Organic,15,37.45,5.62,30.88,0,B,0
200294,10081,2024-11-19,2024,11,Mobile,Paid Search,10,433.71,43.37,378.63,1,B,0
200295,10081,2024-12-22,2024,12,Mobile,Social Ads,0,5,0,5,0,A,0
200296,10081,2024-12-12,2024,12,Desktop,Referral,5,577.15,28.86,531.84,1,B,0
200297,10081,2024-11-22,2024,11,Desktop,Paid Search,0,861.01,0,835.18,1,B,0
200298,10082,2023-02-10,2023,2,Desktop,Social Ads,10,41.07,4.11,36.96,0,,0
200299,10082,2024-03-27,2024,3,Mobile,Email,15,214.76,32.21,182.55,1,,0
200300,10082,2023-12-06,2023,12,Tablet,Organic,10,392.73,39.27,353.46,1,,0
